theta= 37552.1388691, alpha= 6410.65657888, l_beta= 3992.54421788, h_beta= 959.428694621, gamma= 334.187070227
theta= 6253.09099363, alpha= 1527.37903918, l_beta= 1086.40335758, h_beta= 230.638091428, gamma= 287.061681398
theta= 26460.3730172, alpha= 2457.07483506, l_beta= 3371.43806472, h_beta= 909.865839468, gamma= 289.395776286
theta= 27478.9738964, alpha= 9802.84107956, l_beta= 1276.90276948, h_beta= 921.962741453, gamma= 429.70783662
theta= 13897.4719571, alpha= 5742.34454614, l_beta= 1147.20498253, h_beta= 405.252307734, gamma= 157.774907623
theta= 32830.8788814, alpha= 7817.60898134, l_beta= 2821.63770723, h_beta= 513.367927283, gamma= 137.978650243
theta= 4436.10865525, alpha= 1398.87539384, l_beta= 682.893285211, h_beta= 276.102058146, gamma= 117.090908419
theta= 21891.9367442, alpha= 3981.73358113, l_beta= 2433.71417163, h_beta= 465.094426774, gamma= 147.12960762
theta= 32749.6907765, alpha= 10070.5729377, l_beta= 1846.71899329, h_beta= 733.34209565, gamma= 156.438302128
theta= 13897.4719571, alpha= 5742.34454614, l_beta= 1147.20498253, h_beta= 405.252307734, gamma= 157.774907623
theta= 32830.8788814, alpha= 7817.60898134, l_beta= 2821.63770723, h_beta= 513.367927283, gamma= 137.978650243
theta= 4436.10865525, alpha= 1398.87539384, l_beta= 682.893285211, h_beta= 276.102058146, gamma= 117.090908419
theta= 21891.9367442, alpha= 3981.73358113, l_beta= 2433.71417163, h_beta= 465.094426774, gamma= 147.12960762
theta= 32749.6907765, alpha= 10070.5729377, l_beta= 1846.71899329, h_beta= 733.34209565, gamma= 156.438302128
theta= 13897.4719571, alpha= 5742.34454614, l_beta= 1147.20498253, h_beta= 405.252307734, gamma= 157.774907623
theta= 32830.8788814, alpha= 7817.60898134, l_beta= 2821.63770723, h_beta= 513.367927283, gamma= 137.978650243
theta= 4436.10865525, alpha= 1398.87539384, l_beta= 682.893285211, h_beta= 276.102058146, gamma= 117.090908419
theta= 21891.9367442, alpha= 3981.73358113, l_beta= 2433.71417163, h_beta= 465.094426774, gamma= 147.12960762
theta= 32749.6907765, alpha= 10070.5729377, l_beta= 1846.71899329, h_beta= 733.34209565, gamma= 156.438302128
theta= 13897.4719571, alpha= 5742.34454614, l_beta= 1147.20498253, h_beta= 405.252307734, gamma= 157.774907623
theta= 32830.8788814, alpha= 7817.60898134, l_beta= 2821.63770723, h_beta= 513.367927283, gamma= 137.978650243
theta= 4436.10865525, alpha= 1398.87539384, l_beta= 682.893285211, h_beta= 276.102058146, gamma= 117.090908419
theta= 21891.9367442, alpha= 3981.73358113, l_beta= 2433.71417163, h_beta= 465.094426774, gamma= 147.12960762
theta= 32749.6907765, alpha= 10070.5729377, l_beta= 1846.71899329, h_beta= 733.34209565, gamma= 156.438302128
theta= 17799.6040591, alpha= 8924.39436094, l_beta= 2660.88628404, h_beta= 683.293865008, gamma= 324.562393498
theta= 14691.8621229, alpha= 5950.39860848, l_beta= 1412.10644042, h_beta= 536.45992295, gamma= 224.883330082
theta= 3161.54737226, alpha= 2599.73942542, l_beta= 785.775670597, h_beta= 445.100903298, gamma= 150.421460235
theta= 11063.5775227, alpha= 3553.97625363, l_beta= 1226.24563182, h_beta= 416.037289613, gamma= 193.678656504
theta= 68998.3244331, alpha= 27978.5421722, l_beta= 3325.18898444, h_beta= 2908.79074071, gamma= 616.230098022
theta= 17799.6040591, alpha= 8924.39436094, l_beta= 2660.88628404, h_beta= 683.293865008, gamma= 324.562393498
theta= 14691.8621229, alpha= 5950.39860848, l_beta= 1412.10644042, h_beta= 536.45992295, gamma= 224.883330082
theta= 3161.54737226, alpha= 2599.73942542, l_beta= 785.775670597, h_beta= 445.100903298, gamma= 150.421460235
theta= 11063.5775227, alpha= 3553.97625363, l_beta= 1226.24563182, h_beta= 416.037289613, gamma= 193.678656504
theta= 68998.3244331, alpha= 27978.5421722, l_beta= 3325.18898444, h_beta= 2908.79074071, gamma= 616.230098022
theta= 17799.6040591, alpha= 8924.39436094, l_beta= 2660.88628404, h_beta= 683.293865008, gamma= 324.562393498
theta= 14691.8621229, alpha= 5950.39860848, l_beta= 1412.10644042, h_beta= 536.45992295, gamma= 224.883330082
theta= 3161.54737226, alpha= 2599.73942542, l_beta= 785.775670597, h_beta= 445.100903298, gamma= 150.421460235
theta= 11063.5775227, alpha= 3553.97625363, l_beta= 1226.24563182, h_beta= 416.037289613, gamma= 193.678656504
theta= 68998.3244331, alpha= 27978.5421722, l_beta= 3325.18898444, h_beta= 2908.79074071, gamma= 616.230098022
theta= 17799.6040591, alpha= 8924.39436094, l_beta= 2660.88628404, h_beta= 683.293865008, gamma= 324.562393498
theta= 14691.8621229, alpha= 5950.39860848, l_beta= 1412.10644042, h_beta= 536.45992295, gamma= 224.883330082
theta= 3161.54737226, alpha= 2599.73942542, l_beta= 785.775670597, h_beta= 445.100903298, gamma= 150.421460235
theta= 11063.5775227, alpha= 3553.97625363, l_beta= 1226.24563182, h_beta= 416.037289613, gamma= 193.678656504
theta= 68998.3244331, alpha= 27978.5421722, l_beta= 3325.18898444, h_beta= 2908.79074071, gamma= 616.230098022
theta= 17799.6040591, alpha= 8924.39436094, l_beta= 2660.88628404, h_beta= 683.293865008, gamma= 324.562393498
theta= 14691.8621229, alpha= 5950.39860848, l_beta= 1412.10644042, h_beta= 536.45992295, gamma= 224.883330082
theta= 3161.54737226, alpha= 2599.73942542, l_beta= 785.775670597, h_beta= 445.100903298, gamma= 150.421460235
theta= 11063.5775227, alpha= 3553.97625363, l_beta= 1226.24563182, h_beta= 416.037289613, gamma= 193.678656504
theta= 113388.230357, alpha= 45453.8280465, l_beta= 7692.37756812, h_beta= 11718.3850659, gamma= 6412.34903286
theta= 5039.61176561, alpha= 6368.12627439, l_beta= 9877.99025189, h_beta= 3404.87476886, gamma= 1203.27156575
theta= 26182.4851806, alpha= 3061.92403456, l_beta= 1288.04778842, h_beta= 1556.79392024, gamma= 1474.36982882
theta= 22152.4915883, alpha= 6383.62620496, l_beta= 2579.62193535, h_beta= 2214.49435356, gamma= 578.467817102
theta= 20500.2600851, alpha= 4999.00453969, l_beta= 2249.02199223, h_beta= 2360.95778531, gamma= 1217.84262753
theta= 113388.230357, alpha= 45453.8280465, l_beta= 7692.37756812, h_beta= 11718.3850659, gamma= 6412.34903286
